run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0_B_base_openrouter_20260729T102921523130,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R01_user_tweets_routing,False,wrong_tool,provider_error,timeline,,False,False,False,"InternalServerError: Error code: 503 - {'error': {'message': 'Provider returned error', 'code': 503, 'metadata': {'raw': '{""error"":{""code"":""model_unavailable"",""message"":""no online provider for model \\""gpt-oss-20b\\"" advertises inference-time tool_choice enforcement"",""param"":""model"",""type"":""model_unavailable""}}\n', 'provider_name': 'Darkbloom', 'is_byok': False, 'provider_error_code': 'model_unavailable'}}, 'user_id': 'user_3H9xP76EG7FizH3WWsXUa0tYzA4'}"
v0_B_base_openrouter_20260729T102921523130,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R02_search_tweets_routing,False,wrong_tool,provider_error,social_search,,False,False,False,"InternalServerError: Error code: 503 - {'error': {'message': 'Provider returned error', 'code': 503, 'metadata': {'raw': '{""error"":{""code"":""model_unavailable"",""message"":""no online provider for model \\""gpt-oss-20b\\"" advertises inference-time tool_choice enforcement"",""param"":""model"",""type"":""model_unavailable""}}\n', 'provider_name': 'Darkbloom', 'is_byok': False, 'provider_error_code': 'model_unavailable'}}, 'user_id': 'user_3H9xP76EG7FizH3WWsXUa0tYzA4'}"
v0_B_base_openrouter_20260729T102921523130,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R03_web_news_routing,False,wrong_tool,provider_error,lookup,,False,False,False,"InternalServerError: Error code: 503 - {'error': {'message': 'Provider returned error', 'code': 503, 'metadata': {'raw': '{""error"":{""code"":""model_unavailable"",""message"":""no online provider for model \\""gpt-oss-20b\\"" advertises inference-time tool_choice enforcement"",""param"":""model"",""type"":""model_unavailable""}}\n', 'provider_name': 'Darkbloom', 'is_byok': False, 'provider_error_code': 'model_unavailable'}}, 'user_id': 'user_3H9xP76EG7FizH3WWsXUa0tYzA4'}"
v0_B_base_openrouter_20260729T102921523130,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R04_read_url_routing,False,wrong_tool,provider_error,fetch,,False,False,False,"InternalServerError: Error code: 503 - {'error': {'message': 'Provider returned error', 'code': 503, 'metadata': {'raw': '{""error"":{""code"":""model_unavailable"",""message"":""no online provider for model \\""gpt-oss-20b\\"" advertises inference-time tool_choice enforcement"",""param"":""model"",""type"":""model_unavailable""}}\n', 'provider_name': 'Darkbloom', 'is_byok': False, 'provider_error_code': 'model_unavailable'}}, 'user_id': 'user_3H9xP76EG7FizH3WWsXUa0tYzA4'}"
v0_B_base_openrouter_20260729T102921523130,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R05_limit_arg,False,wrong_arg_value,provider_error,timeline,,False,False,False,"InternalServerError: Error code: 503 - {'error': {'message': 'Provider returned error', 'code': 503, 'metadata': {'raw': '{""error"":{""code"":""model_unavailable"",""message"":""no online provider for model \\""gpt-oss-20b\\"" advertises inference-time tool_choice enforcement"",""param"":""model"",""type"":""model_unavailable""}}\n', 'provider_name': 'Darkbloom', 'is_byok': False, 'provider_error_code': 'model_unavailable'}}, 'user_id': 'user_3H9xP76EG7FizH3WWsXUa0tYzA4'}"
v0_B_base_openrouter_20260729T102921523130,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R06_timeframe_arg,False,wrong_arg_value,provider_error,lookup,,False,False,False,"InternalServerError: Error code: 503 - {'error': {'message': 'Provider returned error', 'code': 503, 'metadata': {'raw': '{""error"":{""code"":""model_unavailable"",""message"":""no online provider for model \\""gpt-oss-20b\\"" advertises inference-time tool_choice enforcement"",""param"":""model"",""type"":""model_unavailable""}}\n', 'provider_name': 'Darkbloom', 'is_byok': False, 'provider_error_code': 'model_unavailable'}}, 'user_id': 'user_3H9xP76EG7FizH3WWsXUa0tYzA4'}"
v0_B_base_openrouter_20260729T102921523130,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R07_search_type_arg,False,wrong_arg_value,provider_error,social_search,,False,False,False,"InternalServerError: Error code: 503 - {'error': {'message': 'Provider returned error', 'code': 503, 'metadata': {'raw': '{""error"":{""code"":""model_unavailable"",""message"":""no online provider for model \\""gpt-oss-20b\\"" advertises inference-time tool_choice enforcement"",""param"":""model"",""type"":""model_unavailable""}}\n', 'provider_name': 'Darkbloom', 'is_byok': False, 'provider_error_code': 'model_unavailable'}}, 'user_id': 'user_3H9xP76EG7FizH3WWsXUa0tYzA4'}"
v0_B_base_openrouter_20260729T102921523130,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v0_B_base_openrouter_20260729T102921523130,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v0_B_base_openrouter_20260729T102921523130,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R10_missing_handle,False,missing_info,provider_error,clarify,,False,False,False,"InternalServerError: Error code: 503 - {'error': {'message': 'Provider returned error', 'code': 503, 'metadata': {'raw': '{""error"":{""code"":""model_unavailable"",""message"":""no online provider for model \\""gpt-oss-20b\\"" advertises inference-time tool_choice enforcement"",""param"":""model"",""type"":""model_unavailable""}}\n', 'provider_name': 'Darkbloom', 'is_byok': False, 'provider_error_code': 'model_unavailable'}}, 'user_id': 'user_3H9xP76EG7FizH3WWsXUa0tYzA4'}"
